Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0402_1005Metric,176.005,-114.46,0,top
C2,0.1u,C_0402_1005Metric,182.46,-109.765,270,top
C3,1.5n,C_0402_1005Metric,182.48,-111.83,90,top
C4,33p,C_0402_1005Metric,202.31,-116.11,90,top
C5,10p,C_0402_1005Metric,200.23,-116.15,90,top
D1,D,D_SMA,194.29,-116.41,180,top
L1,170u,L_Bourns_SRR1210A,198.05,-108.13,0,top
Q1,AO3400A,SOT-23,186.64,-110,90,top
R1,100k,R_0402_1005Metric,191.715,-118.77,0,top
R2,1.5k,R_0402_1005Metric,201.29,-116.12,90,top
R3,0.1,R_1206_3216Metric,189.97,-110.72,90,top
R4,13k,R_0402_1005Metric,199.16,-116.135,90,top
R5,82,R_0402_1005Metric,190.88,-103.94,90,top
U1,LM317_3PinPackage,TO-252-2,178.4,-108.18,90,top
U2,ATmega328P-AU,TQFP-32_7x7mm_P0.8mm,185.29,-119.41,0,top
U3,MC34063AD,SOIC-8_3.9x4.9mm_P1.27mm,186.61,-105.32,0,top